用語,読み,ページ,種類,分野,国,立場,開始年,終了年,時代,メモ
清元節,清(きよ)元(もと)節(ぶし),202,文化・流派,芸能,,,1814,1860,,
吉良義央,吉(き)良(ら)義(よし)央(ひさ),178,人物,政変・事件・反乱,日本,武家,1701,1702,,
キリシタン大名,キリシタン大(だい)名(みょう),139,人物,キリスト教,日本,武家,1563,1614,,
キリシタン版,キリシタン版(ばん),149,書物・史料,キリスト教;文学,,,1591,1610,,
記録所,記(き)録(ろく)所(しょ),111,制度・役職,政治・政策,,,1333,1336,,
記録荘園券契所,記(き)録(ろく)荘(しょう)園(えん)券(けん)契(けい)所(じょ),76,制度・役職,土地・税制,,,1069,1069,,
義和団戦争,義(ぎ)和(わ)団(だん)戦(せん)争(そう),262,事件・戦争・乱,対外関係;戦争・軍事,,,1900,1901,,
金,金(きん),83,国・地域・王朝,対外関係,,,1115,1234,,
金印,金(きん)印(いん),18;20,その他,対外関係;考古,,,57,57,,
金解禁,金(きん)解(かい)禁(きん),303,法令・政策,貨幣・金融,,,1930,1930,,
金槐和歌集,金(きん)槐(かい)和(わ)歌(か)集(しゅう),107,書物・史料,文学,,,1213,1213,,
金閣,金(きん)閣(かく),126,作品,美術・建築,,,1397,1397,,
銀閣,銀(ぎん)閣(かく),127,作品,美術・建築,,,1489,1489,,
近畿説,近(きん)畿(き)説(せつ),19,その他,考古,,,,,弥生,
緊急勅令,緊(きん)急(きゅう)勅(ちょく)令(れい),301,法令・政策,法制・制度,,,1927,1927,,
禁教令,禁(きん)教(きょう)令(れい),158,法令・政策,キリスト教,,,1612,1613,,
金玉均,金(きん)玉(ぎょっ)均(きん),257,人物,対外関係,朝鮮,政治家,1882,1894,,
金座・銀座,金(きん)座(ざ)・銀(ぎん)座(ざ),184,組織・団体・政党,貨幣・金融,,,1595,1869,,
金属器,金(きん)属(ぞく)器(き),14,その他,考古,,,,,弥生,
近代的民族主義,近(きん)代(だい)的(てき)民(みん)族(ぞく)主(しゅ)義(ぎ),251,文化・流派,思想・学問,,,1887,1895,,
禁中並公家諸法度,禁(きん)中(ちゅう)並(ならびに)公(く)家(げ)諸(しょ)法(はっ)度(と),158,法令・政策,法制・制度,,,1615,1615,,
金遣い・銀遣い,金(きん)遣(づか)い・銀(ぎん)遣(づか)い,184,その他,貨幣・金融,,,,,江戸,
欽定憲法,欽(きん)定(てい)憲(けん)法(ぽう),248;253,その他,法制・制度,,,1889,1889,,
均田制,均(きん)田(でん)制(せい),213,制度・役職,土地・税制,,,1838,1850,,
金日成,金(きむ)日(いる)成(そん),334,人物,対外関係,朝鮮,政治家,1948,1994,,キム＝イルソン
金肥,金(きん)肥(ぴ),180,その他,農林漁業,,,,,江戸,
銀本位制,銀(ぎん)本(ほん)位(い)制(せい),280,制度・役職,貨幣・金融,,,1886,1897,,
金本位制,金(きん)本(ほん)位(い)制(せい),281,制度・役職,貨幣・金融,,,1897,1931,,
金脈問題,金(きん)脈(みゃく)問(もん)題(だい),355,事件・戦争・乱,政変・事件・反乱,,,1974,1974,,
禁門の変,禁(きん)門(もん)の変(へん),226,事件・戦争・乱,政変・事件・反乱;戦争・軍事,,,1864,1864,,
金融恐慌,金(きん)融(ゆう)恐(きょう)慌(こう),278;300,事件・戦争・乱,貨幣・金融,,,1927,1927,,
金融緊急措置令,金(きん)融(ゆう)緊(きん)急(きゅう)措(そ)置(ち)令(れい),332,法令・政策,貨幣・金融,,,1946,1946,,
金輸出解禁,金(きん)輸(ゆ)出(しゅつ)解(かい)禁(きん),303,法令・政策,貨幣・金融,,,1930,1930,,
金輸出禁止,金(きん)輸(ゆ)出(しゅつ)禁(きん)止(し),301,法令・政策,貨幣・金融,,,1917,1917,,
金輸出再禁止,金(きん)輸(ゆ)出(しゅつ)再(さい)禁(きん)止(し),307,法令・政策,貨幣・金融,,,1931,1931,,
禁裏御料,禁(きん)裏(り)御(ご)料(りょう),158,制度・役職,土地・税制,,,,,江戸,
勤労動員,勤(きん)労(ろう)動(どう)員(いん),322,その他,戦争・軍事;教育,,,1943,1945,,
金禄公債証書,金(きん)禄(ろく)公(こう)債(さい)証(しょう)書(しょ),238;279,その他,身分・社会構造;貨幣・金融,,,1876,1876,,
空海,空(くう)海(かい),59;61,人物,仏教,日本,僧侶・宗教家,804,835,,
郡家,郡(ぐう)家(け),44,寺社・遺跡・場所,政治・政策,,,,,奈良,
空也,空(くう)也(や),66,人物,仏教,日本,僧侶・宗教家,938,972,,
公営田,公(く)営(えい)田(でん),58,その他,土地・税制,,,823,823,,
陸羯南,陸(くが)羯(かつ)南(なん),251,人物,思想・学問,日本,学者・思想家,1889,1906,,
盟神探湯,盟(く)神(か)探(た)湯(ち),31,その他,神道;法制・制度,,,,,古墳,
愚管抄,愚(ぐ)管(かん)抄(しょう),107,書物・史料,思想・学問,,,1220,1220,,
公卿,公(く)卿(ぎょう),39,制度・役職,政治・政策,,,,,奈良;平安,
公暁,公(く)暁(ぎょう),94,人物,政変・事件・反乱,日本,僧侶・宗教家,1219,1219,,
供御人,供(く)御(ご)人(にん),101,その他,商業・流通・都市,,,,,鎌倉;室町,
草双紙,草(くさ)双(ぞう)紙(し),201,文化・流派,文学,,,,,江戸,
公事,公(く)事(じ),77,制度・役職,土地・税制,,,,,平安;鎌倉,
公事方御定書,公(く)事(じ)方(がた)御(お)定(さだめ)書(がき),194,法令・政策,法制・制度,,,1742,1742,,
倶舎宗,倶(く)舎(しゃ)宗(しゅう),52,文化・流派,仏教,,,,,奈良,
九条兼実,九(く)条(じょう)兼(かね)実(ざね),104,人物,政治・政策,日本,公家・貴族,1186,1196,,
公出挙,公(く)出(すい)挙(こ),41;70,制度・役職,土地・税制,,,,,奈良;平安,
グスク,グスク,101,寺社・遺跡・場所,琉球・沖縄,,,1100,1429,,
薬子の変,薬(くす)子(こ)の変(へん),58,事件・戦争・乱,政変・事件・反乱,,,810,810,,
楠木正成,楠(くす)木(のき)正(まさ)成(しげ),111,人物,戦争・軍事,日本,武家,1331,1336,,
百済,百(くだ)済(ら),26,国・地域・王朝,対外関係,,,346,660,,
屈葬,屈(くっ)葬(そう),12,その他,考古,,,,,縄文,
工藤平助,工(く)藤(どう)平(へい)助(すけ),197,人物,北方・アイヌ;思想・学問,日本,学者・思想家,1783,1783,,
宮内省,宮(く)内(ない)省(しょう),252,組織・団体・政党,政治・政策,,,1869,1947,,
グナイスト,グナイスト,252,人物,法制・制度,ドイツ,学者・思想家,1882,1883,,
宮内大臣,宮(く)内(ない)大(だい)臣(じん),252,制度・役職,政治・政策,,,1885,1947,,
狗奴国,狗(く)奴(な)国(こく),18,国・地域・王朝,対外関係,,,,,弥生,
クニ,クニ,17,国・地域・王朝,政治・政策;考古,,,,,弥生,
国一揆,国(くに)一(いっ)揆(き),122,事件・戦争・乱,一揆・打ちこわし,,,1485,1493,,
国絵図,国(くに)絵(え)図(ず),155,書物・史料,政治・政策,,,1605,1700,,
国替,国(くに)替(がえ),143,法令・政策,政治・政策,,,1585,1700,,
国木田独歩,国(くに)木(き)田(だ)独(どっ)歩(ぽ),291,人物,文学,日本,文学者,1897,1908,,
恭仁京,恭(く)仁(にの)京(きょう),46,寺社・遺跡・場所,政治・政策,,,740,744,,
国侍,国(くに)侍(ざむらい),74,その他,戦争・軍事,,,,,平安,
国博士,国(くに)博(はか)士(せ),37,制度・役職,政治・政策,,,645,645,,
国造,国(くに)造(のみやつこ),32;39,制度・役職,政治・政策,,,,,古墳;飛鳥,
国役,国(くに)役(やく),169,制度・役職,土地・税制,,,,,江戸,
公奴婢,公(く)奴(ぬ)婢(ひ),41,その他,身分・社会構造,,,,,奈良,
クビライ,クビライ,99,人物,対外関係;戦争・軍事,中国,国王・皇帝（外国）,1260,1294,,フビライとも
口分田,口(く)分(ぶん)田(でん),40,制度・役職,土地・税制,,,,,飛鳥;奈良;平安,
熊沢蕃山,熊(くま)沢(ざわ)蕃(ばん)山(ざん),189,人物,思想・学問,日本,学者・思想家,1650,1691,,
熊野詣,熊(くま)野(の)詣(もうで),79,その他,神道;仏教,,,1090,1200,,
組頭,組(くみ)頭(がしら),168,制度・役職,身分・社会構造,,,,,江戸,
久米邦武,久(く)米(め)邦(くに)武(たけ),290,人物,思想・学問,日本,学者・思想家,1871,1892,,
公文所,公(く)文(もん)所(じょ),92,制度・役職,政治・政策,,,1184,1191,,
蔵入地,蔵(くら)入(いり)地(ち),143,制度・役職,土地・税制,,,1582,1598,,
クラーク,クラーク,241;289,人物,教育;キリスト教,アメリカ,来日外国人,1876,1877,,
鞍作鳥,鞍(くら)作(つくりの)鳥(とり),36,人物,美術・建築;仏教,日本,芸術家,606,623,,止利仏師
蔵米,蔵(くら)米(まい),157,制度・役職,土地・税制,,,,,江戸,
蔵元,蔵(くら)元(もと),185,その他,商業・流通・都市,,,,,江戸,
蔵物,蔵(くら)物(もの),185,その他,商業・流通・都市,,,,,江戸,
蔵屋敷,蔵(くら)屋(や)敷(しき),185,寺社・遺跡・場所,商業・流通・都市,,,,,江戸,
蔵人頭,蔵(くろ)人(うどの)頭(とう),57;62,制度・役職,政治・政策,,,810,810,,
黒澤明,黒(くろ)澤(さわ)明(あきら),338,人物,芸能,日本,芸術家,1950,1990,,
黒住教,黒(くろ)住(ずみ)教(きょう),230,文化・流派,神道,,,1814,1814,,
黒田清隆,黒(くろ)田(だ)清(きよ)隆(たか),248;254,人物,政治・政策;北方・アイヌ,日本,政治家,1874,1889,,
黒田清輝,黒(くろ)田(だ)清(せい)輝(き),293,人物,美術・建築,日本,芸術家,1893,1924,,
黒田長政,黒(くろ)田(だ)長(なが)政(まさ),154,人物,戦争・軍事,日本,武家,1592,1623,,
郡,郡(ぐん),77,制度・役職,法制・制度,,,,,平安,
郡衙,郡(ぐん)衙(が),44,寺社・遺跡・場所,政治・政策,,,,,奈良,
軍記物語,軍(ぐん)記(き)物(もの)語(がたり),83,文化・流派,文学,,,,,平安;鎌倉,
郡区町村編制法,郡(ぐん)区(く)町(ちょう)村(そん)編(へん)制(せい)法(ほう),248,法令・政策,法制・制度,,,1878,1878,,
軍財抱合,軍(ぐん)財(ざい)抱(ほう)合(ごう),310,その他,戦争・軍事;産業・工業,,,1937,1937,,
郡参事会,郡(ぐん)参(さん)事(じ)会(かい),252,制度・役職,法制・制度,,,1890,1890,,
郡司,郡(ぐん)司(じ),39,制度・役職,政治・政策,,,,,奈良;平安,
軍事貴族,軍(ぐん)事(じ)貴(き)族(ぞく),73,その他,戦争・軍事;身分・社会構造,,,,,平安,
群集墳,群(ぐん)集(しゅう)墳(ふん),29,その他,考古,,,,,古墳,
群書類従,群(ぐん)書(しょ)類(るい)従(じゅう),199,書物・史料,思想・学問,,,1819,1819,,
軍人勅諭,軍(ぐん)人(じん)勅(ちょく)諭(ゆ),258,法令・政策,戦争・軍事,,,1882,1882,,
郡制,郡(ぐん)制(せい),252,制度・役職,法制・制度,,,1890,1890,,
郡代,郡(ぐん)代(だい),157,制度・役職,政治・政策,,,,,江戸,
軍団,軍(ぐん)団(だん),41,制度・役職,戦争・軍事,,,,,奈良,
郡内騒動,郡(ぐん)内(ない)騒(そう)動(どう),208,事件・戦争・乱,一揆・打ちこわし,,,1836,1836,,
軍部大臣現役武官制,軍(ぐん)部(ぶ)大(だい)臣(じん)現(げん)役(えき)武(ぶ)官(かん)制(せい),261;268,制度・役職,戦争・軍事;法制・制度,,,1900,1913,,
群馬事件,群(ぐん)馬(ま)事(じ)件(けん),250,事件・戦争・乱,社会運動,,,1884,1884,,
軍役,軍(ぐん)役(やく),133;145;155,制度・役職,戦争・軍事,,,,,戦国;安土桃山;江戸,
桂庵玄樹,桂(けい)庵(あん)玄(げん)樹(じゅ),131,人物,思想・学問;仏教,日本,僧侶・宗教家,1478,1508,,
慶安の触書,慶(けい)安(あん)の触(ふれ)書(がき),170,法令・政策,農林漁業,,,1649,1649,,
慶安の変,慶(けい)安(あん)の変(へん),176,事件・戦争・乱,政変・事件・反乱,,,1651,1651,,
桂園時代,桂(けい)園(えん)時(じ)代(だい),266,その他,政治・政策,,,1901,1913,,
桂園派,桂(けい)園(えん)派(は),216,文化・流派,文学,,,,,江戸,
慶応義塾,慶(けい)応(おう)義(ぎ)塾(じゅく),243,組織・団体・政党,教育,,,1868,1868,,
慶賀使,慶(けい)賀(が)使(し),164,組織・団体・政党,琉球・沖縄;対外関係,,,1644,1850,,
経国集,経(けい)国(こく)集(しゅう),57,書物・史料,文学,,,827,827,,
経国美談,経(けい)国(こく)美(び)談(だん),290,書物・史料,文学,,,1883,1884,,
経済安定九原則,経(けい)済(ざい)安(あん)定(てい)九(きゅう)原(げん)則(そく),334,法令・政策,貨幣・金融,,,1948,1948,,
経済協力開発機構,経(けい)済(ざい)協(きょう)力(りょく)開(かい)発(はつ)機(き)構(こう),348,組織・団体・政党,対外関係,,,1964,1964,,OECD
経済大国,経(けい)済(ざい)大(たい)国(こく),357,その他,産業・工業,,,1970,1990,,
警察予備隊,警(けい)察(さつ)予(よ)備(び)隊(たい),335;340,組織・団体・政党,戦争・軍事,,,1950,1952,,
警視庁,警(けい)視(し)庁(ちょう),238,組織・団体・政党,法制・制度,,,1874,1874,,
傾斜生産方式,傾(けい)斜(しゃ)生(せい)産(さん)方(ほう)式(しき),332;334,法令・政策,産業・工業,,,1946,1948,,
形象埴輪,形(けい)象(しょう)埴(はに)輪(わ),28,その他,考古,,,,,古墳,
敬神党,敬(けい)神(しん)党(とう),247,組織・団体・政党,政変・事件・反乱,,,1876,1876,,神風連
経世論,経(けい)世(せい)論(ろん),189,文化・流派,思想・学問,,,,,江戸,
契沖,契(けい)沖(ちゅう),190,人物,思想・学問,日本,学者・思想家,1680,1701,,
計帳,計(けい)帳(ちょう),40,書物・史料,土地・税制,,,,,奈良,
慶長遣欧使節,慶(けい)長(ちょう)遣(けん)欧(おう)使(し)節(せつ),160,組織・団体・政党,対外関係,,,1613,1620,,
慶長の役,慶(けい)長(ちょう)の役(えき),146,事件・戦争・乱,対外関係;戦争・軍事,,,1597,1598,,
啓蒙主義,啓(けい)蒙(もう)主(しゅ)義(ぎ),291,文化・流派,思想・学問,,,1870,1890,,
KS磁石鋼,KS磁(じ)石(しゃく)鋼(こう),298,その他,思想・学問;産業・工業,,,1917,1917,,
下剋上,下(げ)剋(こく)上(じょう),122,その他,身分・社会構造,,,,,室町;戦国,
華厳宗,華(け)厳(ごん)宗(しゅう),52,文化・流派,仏教,,,,,奈良,
戯作文学,戯(げ)作(さく)文(ぶん)学(がく),290,文化・流派,文学,,,1868,1885,,
下司,下(げ)司(し),71,制度・役職,土地・税制,,,,,平安,
血税一揆,血(けっ)税(ぜい)一(いっ)揆(き),247,事件・戦争・乱,一揆・打ちこわし,,,1873,1873,,
血盟団事件,血(けつ)盟(めい)団(だん)事(じ)件(けん),306,事件・戦争・乱,政変・事件・反乱,,,1932,1932,,
家人,家(け)人(にん),41,その他,身分・社会構造,,,,,奈良,
下人,下(げ)人(にん),97,その他,身分・社会構造,,,,,鎌倉;室町,
検非違使,検(け)非(び)違(い)使(し),57,制度・役職,法制・制度,,,816,816,,
検見法,検(け)見(み)法(ほう),169,制度・役職,土地・税制,,,,,江戸,
解由状,解(げ)由(ゆ)状(じょう),57,書物・史料,法制・制度,,,,,奈良;平安,
県,県(けん),236,制度・役職,法制・制度,,,1871,1871,,
元,元(げん),99,国・地域・王朝,対外関係,,,1271,1368,,
蘐園塾,蘐(けん)園(えん)塾(じゅく),201,組織・団体・政党,教育,,,1709,1728,,
顕戒論,顕(けん)戒(かい)論(ろん),59,書物・史料,仏教,,,820,820,,
喧嘩両成敗法,喧(けん)嘩(か)両(りょう)成(せい)敗(ばい)法(ほう),134,法令・政策,法制・制度,,,,,戦国,
顕教,顕(けん)教(ぎょう),59,文化・流派,仏教,,,,,平安,
乾元大宝,乾(けん)元(げん)大(たい)宝(ほう),43;63,その他,貨幣・金融,,,958,958,,
元寇,元(げん)寇(こう),100,事件・戦争・乱,対外関係;戦争・軍事,,,1274,1281,,
元弘の変,元(げん)弘(こう)の変(へん),111,事件・戦争・乱,政変・事件・反乱,,,1331,1331,,
兼好法師,兼(けん)好(こう)法(ほう)師(し),107,人物,文学,日本,文学者,1330,1350,,吉田兼好
玄室,玄(げん)室(しつ),25,その他,考古,,,,,古墳,
原子爆弾,原(げん)子(し)爆(ばく)弾(だん),324,事件・戦争・乱,戦争・軍事,,,1945,1945,,
源氏物語,源(げん)氏(じ)物(もの)語(がたり),65,書物・史料,文学,,,1008,1008,,
源氏物語絵巻,源(げん)氏(じ)物(もの)語(がたり)絵(え)巻(まき),85,作品,美術・建築,,,1130,1130,,
源信,源(げん)信(しん),59;66,人物,仏教,日本,僧侶・宗教家,985,1017,,
原人,原(げん)人(じん),6,その他,考古,,,,,旧石器,
遣隋使,遣(けん)隋(ずい)使(し),34,組織・団体・政党,対外関係,,,600,614,,
原水爆禁止運動,原(げん)水(すい)爆(ばく)禁(きん)止(し)運(うん)動(どう),341,事件・戦争・乱,社会運動,,,1954,1955,,
憲政会,憲(けん)政(せい)会(かい),271,組織・団体・政党,政治・政策,,,1916,1927,,
憲政党,憲(けん)政(せい)党(とう),260,組織・団体・政党,政治・政策,,,1898,1900,,
憲政の常道,憲(けん)政(せい)の常(じょう)道(どう),278,その他,政治・政策,,,1924,1932,,
憲政本党,憲(けん)政(せい)本(ほん)党(とう),260,組織・団体・政党,政治・政策,,,1898,1910,,
憲政擁護,憲(けん)政(せい)擁(よう)護(ご),267,事件・戦争・乱,政治・政策;社会運動,,,1912,1913,,
現世利益,現(げん)世(ぜ)利(り)益(やく),52;60,その他,仏教,,,,,奈良;平安,
減反政策,減(げん)反(たん)政(せい)策(さく),350,法令・政策,農林漁業,,,1970,2018,,
検地,検(けん)地(ち),134;143,法令・政策,土地・税制,,,,,戦国;安土桃山,
検地帳,検(けん)地(ち)帳(ちょう),134;143,書物・史料,土地・税制,,,,,戦国;安土桃山,
建長寺船,建(けん)長(ちょう)寺(じ)船(ぶね),116,その他,対外関係,,,1325,1325,,
検田使,検(けん)田(でん)使(し),71,制度・役職,土地・税制,,,,,平安,
遣唐使,遣(けん)唐(とう)使(し),34;41;49,組織・団体・政党,対外関係,,,630,894,,
元和の大殉教,元(げん)和(な)の大(だい)殉(じゅん)教(きょう),159,事件・戦争・乱,キリスト教,,,1622,1622,,
元服,元(げん)服(ぷく),69,その他,生活・風俗,,,,,平安,
元文一揆,元(げん)文(ぶん)一(いっ)揆(き),195,事件・戦争・乱,一揆・打ちこわし,,,1738,1738,,
言文一致,言(げん)文(ぶん)一(いっ)致(ち),290,その他,文学,,,1887,1900,,
玄昉,玄(げん)昉(ぼう),42;52,人物,仏教;政治・政策,日本,僧侶・宗教家,717,745,,
憲法講話,憲(けん)法(ぽう)講(こう)話(わ),267,書物・史料,法制・制度,,,1912,1912,,
憲法十七条,憲(けん)法(ぽう)十(じゅう)七(しち)条(じょう),33,法令・政策,法制・制度,,,604,604,,
憲法草案要綱,憲(けん)法(ぽう)草(そう)案(あん)要(よう)綱(こう),330,書物・史料,法制・制度,,,1945,1945,,
憲法問題調査委員会,憲(けん)法(ぽう)問(もん)題(だい)調(ちょう)査(さ)委(い)員(いん)会(かい),330,組織・団体・政党,法制・制度,,,1945,1946,,
建武以来追加,建(けん)武(む)以(い)来(らい)追(つい)加(か),96,法令・政策,法制・制度,,,1336,1500,,
建武式目,建(けん)武(む)式(しき)目(もく),112,法令・政策,法制・制度,,,1336,1336,,
建武の新政,建(けん)武(む)の新(しん)政(せい),111,その他,政治・政策,,,1333,1336,,
元明天皇,元(げん)明(めい)天(てん)皇(のう),42,人物,政治・政策,日本,天皇・皇族,707,715,,
硯友社,硯(けん)友(ゆう)社(しゃ),291,組織・団体・政党,文学,,,1885,1903,,
玄洋社,玄(げん)洋(よう)社(しゃ),256,組織・団体・政党,思想・学問;対外関係,,,1881,1946,,
減量経営,減(げん)量(りょう)経(けい)営(えい),356,その他,産業・工業,,,1974,1985,,
県令,県(けん)令(れい),236,制度・役職,法制・制度,,,1871,1886,,
建礼門院,建(けん)礼(れい)門(もん)院(いん),82,人物,政治・政策;女性,日本,天皇・皇族,1172,1185,,平徳子
元老,元(げん)老(ろう),261,制度・役職,政治・政策,,,1889,1940,,
元老院,元(げん)老(ろう)院(いん),247,組織・団体・政党,法制・制度,,,1875,1890,,
元禄時代,元(げん)禄(ろく)時(じ)代(だい),177,その他,政治・政策,,,1688,1704,,
元禄文化,元(げん)禄(ろく)文(ぶん)化(か),187,文化・流派,文学;美術・建築;芸能,,,1680,1710,,
呉,呉(ご),18,国・地域・王朝,対外関係,,,222,280,,
小石川後楽園,小(こ)石(いし)川(かわ)後(こう)楽(らく)園(えん),191,寺社・遺跡・場所,美術・建築,,,1629,1700,,
小石川養生所,小(こ)石(いし)川(かわ)養(よう)生(じょう)所(しょ),194,組織・団体・政党,生活・風俗,,,1722,1722,,
小泉純一郎,小(こ)泉(いずみ)純(じゅん)一(いち)郎(ろう),363,人物,政治・政策,日本,政治家,2001,2006,,
小磯国昭,小(こ)磯(いそ)国(くに)昭(あき),321,人物,政治・政策;戦争・軍事,日本,政治家;軍人,1944,1945,,
五・一五事件,五(ご)・一(いち)五(ご)事(じ)件(けん),306,事件・戦争・乱,政変・事件・反乱,,,1932,1932,,
後一条天皇,後(ご)一(いち)条(じょう)天(てん)皇(のう),64,人物,政治・政策,日本,天皇・皇族,1016,1036,,
御一新,御(ご)一(いっ)新(しん),228,その他,政治・政策,,,1868,1868,,
肥富,肥(こい)富(つみ),116,人物,対外関係;商業・流通・都市,日本,実業家,1401,1401,,
古医方,古(こ)医(い)方(ほう),198,文化・流派,思想・学問,,,,,江戸,
興,興(こう),27,人物,対外関係,日本,天皇・皇族,462,477,,倭の五王のひとり
講,講(こう),132,組織・団体・政党,仏教,,,,,室町;戦国,
郷,郷(ごう),77,制度・役職,法制・制度,,,,,奈良;平安,
弘安の役,弘(こう)安(あん)の役(えき),100,事件・戦争・乱,対外関係;戦争・軍事,,,1281,1281,,
公案問答,公(こう)案(あん)問(もん)答(どう),106,その他,仏教,,,,,鎌倉,
庚寅年籍,庚(こう)寅(いん)年(ねん)籍(じゃく),39,書物・史料,土地・税制,,,690,690,,
広益国産考,広(こう)益(えき)国(こく)産(さん)考(こう),180,書物・史料,農林漁業,,,1844,1859,,
航海奨励法,航(こう)海(かい)奨(しょう)励(れい)法(ほう),283,法令・政策,産業・工業,,,1896,1896,,
公害対策基本法,公(こう)害(がい)対(たい)策(さく)基(き)本(ほん)法(ほう),352,法令・政策,公害・環境・災害,,,1967,1967,,
広開土王（好太王）碑,広(こう)開(かい)土(ど)王(おう)（好(こう)太(たい)王(おう)）碑(ひ),20;26,書物・史料,対外関係;考古,,,414,414,,
光格天皇,光(こう)格(かく)天(てん)皇(のう),197;205;212,人物,政治・政策,日本,天皇・皇族,1779,1817,,
甲賀郡中惣,甲(こう)賀(か)郡(ぐん)中(ちゅう)惣(そう),122,組織・団体・政党,一揆・打ちこわし,,,1550,1580,,
江華島事件,江(こう)華(か)島(とう)事(じ)件(けん),245,事件・戦争・乱,対外関係,,,1875,1875,,
公議所,公(こう)議(ぎ)所(しょ),229,組織・団体・政党,政治・政策,,,1869,1869,,
高句麗,高(こう)句(く)麗(り),26,国・地域・王朝,対外関係,,,-37,668,,
高家,高(こう)家(け),178,制度・役職,政治・政策,,,,,江戸,
孝謙天皇,孝(こう)謙(けん)天(てん)皇(のう),46,人物,政治・政策,日本,天皇・皇族,749,758,,
郷戸,郷(ごう)戸(こ),40,制度・役職,土地・税制,,,,,奈良,
郷校（郷学）,郷(ごう)校(こう)（郷(ごう)学(がく)）,200,組織・団体・政党,教育,,,,,江戸,
庚午年籍,庚(こう)午(ご)年(ねん)籍(じゃく),38,書物・史料,土地・税制,,,670,670,,
甲午農民戦争,甲(こう)午(ご)農(のう)民(みん)戦(せん)争(そう),258,事件・戦争・乱,対外関係;農民運動,,,1894,1894,,
光厳天皇,光(こう)厳(ごん)天(てん)皇(のう),111,人物,政治・政策,日本,天皇・皇族,1331,1333,,
高山国,高(こう)山(ざん)国(こく),145,国・地域・王朝,対外関係,,,1593,1593,,台湾のこと
貢士,貢(こう)士(し),229,制度・役職,政治・政策,,,1868,1869,,
郷司,郷(ごう)司(じ),77,制度・役職,土地・税制,,,,,平安,
皇室典範,皇(こう)室(しつ)典(てん)範(ぱん),253,法令・政策,法制・制度,,,1889,1889,,
甲州道中,甲(こう)州(しゅう)道(どう)中(ちゅう),182,寺社・遺跡・場所,商業・流通・都市,,,,,江戸,
交詢社,交(こう)詢(じゅん)社(しゃ),249,組織・団体・政党,社会運動;思想・学問,,,1880,1880,,
豪商,豪(ごう)商(しょう),175,その他,商業・流通・都市,,,,,江戸,
考証学派,考(こう)証(しょう)学(がく)派(は),200,文化・流派,思想・学問,,,,,江戸,
工場制手工業,工(こう)場(じょう)制(せい)手(しゅ)工(こう)業(ぎょう),212,その他,産業・工業,,,1800,1860,,マニュファクチュア
工場法,工(こう)場(じょう)法(ほう),266;287,法令・政策,労働運動;産業・工業,,,1911,1916,,
好色一代男,好(こう)色(しょく)一(いち)代(だい)男(おとこ),188,書物・史料,文学,,,1682,1682,,
公職追放,公(こう)職(しょく)追(つい)放(ほう),327,法令・政策,政治・政策,,,1946,1952,,
庚申講,庚(こう)申(しん)講(こう),218,組織・団体・政党,生活・風俗,,,,,江戸,
甲申事変,甲(こう)申(しん)事(じ)変(へん),258,事件・戦争・乱,対外関係,,,1884,1884,,
更新世,更(こう)新(しん)世(せい),6,その他,考古,,,,,旧石器,
荒神谷遺跡,荒(こう)神(じん)谷(だに)遺(い)跡(せき),17,寺社・遺跡・場所,考古,,,,,弥生,
強訴,強(ごう)訴(そ),80,事件・戦争・乱,仏教;政変・事件・反乱,,,,,平安,
皇族将軍,皇(こう)族(ぞく)将(しょう)軍(ぐん),97,制度・役職,政治・政策,,,1252,1333,,
小歌,小(こ)歌(うた),130,文化・流派,芸能,,,,,室町,
幸田露伴,幸(こう)田(だ)露(ろ)伴(はん),291,人物,文学,日本,文学者,1889,1947,,
小袿,小(こ)袿(うちき),69,その他,生活・風俗,,,,,平安,
公地公民制,公(こう)地(ち)公(こう)民(みん)制(せい),37,制度・役職,土地・税制,,,646,646,,
郷帳,郷(ごう)帳(ちょう),155,書物・史料,土地・税制,,,1605,1700,,
皇道派,皇(こう)道(どう)派(は),309,組織・団体・政党,戦争・軍事;政変・事件・反乱,,,1930,1936,,
幸徳秋水,幸(こう)徳(とく)秋(しゅう)水(すい),262,人物,社会運動,日本,社会運動家,1901,1911,,
孝徳天皇,孝(こう)徳(とく)天(てん)皇(のう),37,人物,政治・政策,日本,天皇・皇族,645,654,,
高度経済成長,高(こう)度(ど)経(けい)済(ざい)成(せい)長(ちょう),347,その他,産業・工業,,,1955,1973,,
抗日救国運動,抗(こう)日(にち)救(きゅう)国(こく)運(うん)動(どう),311,事件・戦争・乱,対外関係;社会運動,,,1935,1936,,
抗日民族統一戦線,抗(こう)日(にち)民(みん)族(ぞく)統(とう)一(いつ)戦(せん)線(せん),312,組織・団体・政党,対外関係;戦争・軍事,,,1937,1945,,
弘仁格式,弘(こう)仁(にん)格(きゃく)式(しき),57,法令・政策,法制・制度,,,820,820,,
弘仁・貞観文化,弘(こう)仁(にん)・貞(じょう)観(がん)文(ぶん)化(か),58,文化・流派,仏教;美術・建築,,,794,894,,
光仁天皇,光(こう)仁(にん)天(てん)皇(のう),47,人物,政治・政策,日本,天皇・皇族,770,781,,
鴻池,鴻(こうの)池(いけ),184,組織・団体・政党,商業・流通・都市;貨幣・金融,,,,,江戸,
豪農,豪(ごう)農(のう),186;194,その他,農林漁業;身分・社会構造,,,,,江戸,
